Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
4/1/2011,0.945372575,0.44852523,0.500416191,0,0,0.961823283,1.36381817,0.6,0.216,7.57,13.64,30.976,8.780139766,0,1882.7684,932.2469,902.7297
4/3/2011,1,0.44852523,0.500416191,0,0,0.942252607,2.835489376,0.47,0.103823,7.65,7.46,5.88289,2.762816406,1.405032979,1360.2189,1268.365,1494.8932
4/4/2011,0.965849858,0.44852523,0.500416191,0,0,1,2.765863337,-0.39,-0.059319,6.79,7.85,7.60384,2.360103845,0,1223.8708,1494.8932,1506.2631
4/5/2011,0.970642056,0.44852523,0.500416191,0,0,0.965849858,2.605762844,-0.86,-0.636056,5.44,8.71,7.744,5.546808634,0,1117.6562,1506.2631,1522.6064
4/6/2011,0.950674824,0.44852523,0.500416191,0,0,0.970642056,2.332380758,-1.35,-2.460375,7.47,10.06,12.769,6.051657498,0,988.8884,1522.6064,1486.0101
4/7/2011,0.961823283,0.44852523,0.500416191,0,0,0.950674824,2.733130074,2.03,8.365427,3.73,8.03,9.86049,1.412023414,0,932.2469,1486.0101,1484.3703
4/8/2011,0.945372575,0.44852523,0.500416191,1,0,0.961823283,1.931320792,-3.74,-52.313624,5.7,11.77,23.47024,4.565488679,0,902.7297,1484.3703,1162.7715
4/9/2011,0.942252607,0.44852523,0.500416191,0,0.483893754,0.945372575,2.387467277,1.97,7.645373,6.75,9.8,14.47209,3.301237901,0,1268.365,1162.7715,1329.8673
4/10/2011,1,0.44852523,0.500416191,0,0,0.942252607,2.598076211,1.05,1.157625,6.31,8.75,9.70225,3.424883006,0,1494.8932,1329.8673,1496.2719
4/11/2011,0.965849858,0.44852523,0.500416191,0,0,1,2.511971337,-0.44,-0.085184,10.86,9.19,17.37124,0.7311616,0,1506.2631,1496.2719,1277.3614
4/12/2011,0.970642056,0.44852523,0.500416191,0,0,0.965849858,3.295451411,4.55,94.196375,9.45,4.64,2.58064,0.3111696,0,1522.6064,1277.3614,1737.836
4/13/2011,0.950674824,0.44852523,0.500416191,0,0,0.970642056,3.07408523,-1.41,-2.803221,5.61,6.05,6.05284,0.351521251,1.360488895,1486.0101,1737.836,1774.1812
4/14/2011,0.961823283,0.44852523,0.500416191,0,0,0.950674824,2.368543856,-3.84,-56.623104,2.02,9.89,17.74224,1.752334949,0,1484.3703,1774.1812,1348.782
4/15/2011,0.945372575,0.44852523,0.500416191,0,0,0.961823283,1.42126704,-3.59,-46.268279,3.96,13.48,28.12329,10.8243216,0,1162.7715,1348.782,1090.4456
4/16/2011,0.942252607,0.44852523,0.500416191,0,0,0.945372575,1.989974874,1.94,7.301384,6.25,11.54,19.51609,6.8574961,0,1329.8673,1090.4456,1195.8669
4/17/2011,1,0.44852523,0.500416191,0,0,0.942252607,2.5,2.29,12.008989,5.68,9.25,13.689,2.1381376,0,1496.2719,1195.8669,1357.6531
4/18/2011,0.965849858,0.44852523,0.500416191,0,0,1,2.383275058,-0.57,-0.185193,0.25,9.82,10.14049,8.387793908,0,1277.3614,1357.6531,1392.2241
4/19/2011,0.970642056,0.44852523,0.500416191,0,0,0.965849858,0.5,-5.43,-160.103007,2.59,15.25,29.99824,30.17599791,0,1737.836,1392.2241,1022.1609
4/20/2011,0.950674824,0.44852523,0.500416191,0,0,0.970642056,1.609347694,2.34,12.812904,4.79,12.91,21.609,15.34548635,0,1774.1812,1022.1609,1059.4834
4/21/2011,0.961823283,0.44852523,0.500416191,0,0,0.950674824,2.188606863,2.2,10.648,8.37,10.71,16.17984,5.7289761,0,1348.782,1059.4834,1125.3316
4/22/2011,0.945372575,0.44852523,0.500416191,0,0,0.961823283,2.893095228,3.58,45.882712,4.57,7.13,6.16225,1.6777216,0,1090.4456,1125.3316,1338.7949
4/23/2011,0.942252607,0.44852523,0.500416191,0,0,0.945372575,2.137755833,-3.8,-54.872,3.61,10.93,17.37124,5.676477238,0,1195.8669,1338.7949,1130.5518
4/24/2011,1,0.44852523,0.500416191,0,0,0.942252607,1.9,-0.96,-0.884736,5.54,11.89,17.90244,11.6985856,0,1357.6531,1130.5518,957.4064
4/25/2011,0.965849858,0.44852523,0.500416191,0,0,1,2.353720459,1.93,7.189057,3.37,9.96,10,9.722926304,0,1392.2241,957.4064,1151.7909
