Date,c
9/23/2012,587.0697
9/24/2012,551.7514
9/25/2012,570.368
9/26/2012,559.285
9/27/2012,561.7265
9/28/2012,560.6147
9/29/2012,565.0214
9/30/2012,556.0708
10/1/2012,506.3411
10/2/2012,534.788
10/3/2012,544.9847
10/4/2012,550.0583
10/5/2012,545.314
10/6/2012,549.3851
10/7/2012,579.3721
10/8/2012,546.8807
10/9/2012,574.2875
10/10/2012,588.7983
10/11/2012,577.0591
10/12/2012,578.665
10/13/2012,596.2766
10/14/2012,634.5228
10/15/2012,616.2051
10/16/2012,608.1411
10/17/2012,610.5564
10/18/2012,611.17
10/19/2012,603.229
10/20/2012,628.0229
10/21/2012,687.1299
10/22/2012,640.2365
10/23/2012,644.9014
10/24/2012,671.731
10/25/2012,636.323
10/26/2012,622.505
10/27/2012,664.2871
10/28/2012,730.1777
10/29/2012,691.7821
10/30/2012,682.4129
10/31/2012,710.5616
11/1/2012,709.7822
11/2/2012,690.6666
11/3/2012,715.6927
11/4/2012,780.3044
11/5/2012,749.2328
11/6/2012,752.7483
11/7/2012,745.8742
11/8/2012,771.0287
11/9/2012,884.4084
11/10/2012,991.4167
11/11/2012,1078.8206
11/12/2012,1142.4668
11/13/2012,1361.169
11/14/2012,1478.9623
11/15/2012,1366.9087
11/16/2012,1374.1691
11/17/2012,1368.6997
11/18/2012,1628.7479
11/19/2012,1618.8662
11/20/2012,1608.6744
11/21/2012,1664.9883
11/22/2012,1727.4484
11/23/2012,1780.9003
11/24/2012,1718.9723
11/25/2012,1854.6159
11/26/2012,1860.5911
11/27/2012,1875.1804
11/28/2012,1945.5883
11/29/2012,1985.7281
11/30/2012,1922.5268
12/1/2012,1899.0827
12/2/2012,1936.4612
12/3/2012,1917.187
12/4/2012,1958.7787
12/5/2012,1925.943
12/6/2012,1886.541
12/7/2012,1858.7533
12/8/2012,1937.2599
12/9/2012,1982.3377
12/10/2012,2052.6457
12/11/2012,2104.9266
12/12/2012,2071.2743
12/13/2012,2194.6882
12/14/2012,2229.9552
12/15/2012,2557.0697
12/16/2012,2908.5149
12/17/2012,3036.3246
12/18/2012,3195.4742
12/19/2012,3178.4928
12/20/2012,3034.7471
12/21/2012,2855.1326
12/22/2012,2628.2325
